Category,Model Name,Asset Name,Location,Due Date / Issued,Calib Due/ Done Date,Atch,Parent Asset,Options
Gauges,Set-Thread Plug GO_NOGO Gauge 3.625"-16UN-2A,(133) Set4-Thread Plug GO_NOGO Gauge 3.625"-16UN-2A,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,Granite Surface Plate with Stand 800x600x80mm,(134) GSP-03,Magdyn,null,01-01-2000~02-07-2024,,null,
Dies_Tools,Non Extrusion Plate Punch & Die Tool,(135) 12-121-657-R-A,CO-admin,2026-06-03 13:30:38~2026-06-03 17:00:38,01-01-2000~01-01-2000,,null,
Dies_Tools,Non Extrusion Plate Punch & Die Tool,(136) 12-121-677-R-B,CO-A.A. Stationaries (Ali Tools),2026-06-03 13:30:58~2026-06-03 17:00:58,01-01-2000~01-01-2000,,null,
Dies_Tools,Non Extrusion Plate Punch & Die Tool,(137) P111384-0000-R-D,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,Non Extrusion Plate Punch & Die Tool,(138) P1000059915-R-A,CO-DSN Hydraulic Engineering Works,2025-07-28 15:28:49~2025-07-28 15:28:49,01-01-2000~01-01-2000,,null,
Gauges,1 inch NPT Thread Plug Gauge,(139) 1 inch NPT Thread Plug Gauge,CO-CASTFAB ENGINEERING INDIA PVT LTD,2026-05-30 19:11:06~2026-05-20 19:11:06,16-09-2026~17-09-2025,,null,
Fixtures,Rotor Bush Mandrel,(140) Rotor Bush Mandrel,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Float Half Cup Trimming Fixture,(141) Float Half Cup Trimming Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Edge Finder,(142) Edge Finder,CO-Rajeev,2024-08-10 14:15:32~2024-08-07 14:15:32,01-01-2000~01-01-2000,,null,
Fixtures,Non Extrusion Plate Measuring Fixture,(143) Non Extrusion Plate Measuring Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,OD Forming Ring for 528345-1,(144) OD Forming Ring for 528345-1 for NPT 40Mesh,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,OD Forming Ring for 528345-1,(145) OD Forming Ring for 528345-1 for NPT 16Mesh,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,Cast Iron Surface Plate (630X400mm)-2902,(146) Cast Iron Surface Plate (630X400mm),Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,PCLNL 2525-M12 WIDAX,(147) PCLNL 2525-M12 WIDAX,CO-Rajeev,2026-12-31 14:47:00~2026-01-07 14:47:00,01-01-2000~01-01-2000,,null,
Lathe Tool,DVPNL 2525 M-16,(148) DVPNL 2525 M-16,CO-Rajeev,2026-12-31 14:48:38~2026-01-07 14:48:38,01-01-2000~01-01-2000,,null,
Lathe Tool,SER2525M16,(149) SER2525M16,CO-Rajeev,2026-12-31 14:49:01~2026-01-07 14:49:01,01-01-2000~01-01-2000,,null,
Lathe Tool,S20H-SVNR12N,(150) S20H-SVNR12N,CO-Rajeev,2026-12-31 14:51:57~2026-01-07 14:51:57,01-01-2000~01-01-2000,,null,
Lathe Tool,SCLCL06F3 S12M,(151) SCLCL06F3 S12M,CO-Rajeev,2026-12-31 14:52:51~2026-01-07 14:52:51,01-01-2000~01-01-2000,,null,
Gauges,Plain Plug Gauge 12.695-12.688,(152) Plain Plug Gauge 12.695-12.688,CO-Micromac CNC,2024-12-25 17:36:44~2024-12-25 17:36:44,01-01-2000~01-01-2000,,null,
Lathe Tool,S16QSCLCL09118,(153) S16Q SCLCL09118,CO-Rajeev,2026-12-31 14:54:01~2026-01-07 14:54:01,01-01-2000~01-01-2000,,null,
Lathe Tool,ECLNL -2525M12,(154) ECLNL -2525M12,CO-Rajeev,2026-12-31 14:54:30~2026-01-07 14:54:30,01-01-2000~01-01-2000,,null,
Lathe Tool,Miranda Square Tool Bit-1/4inchX6inch,(155) Miranda Square Tool Bit-1/4inchX6inch,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,FIXTURE,(156) Ground Central Pin of Butterfly Disc - 4.8mm dia,Vendor,null,01-01-2000~01-01-2000,,null,
Dies_Tools,Brass Sheet Hole Piercing Die,(157) Brass Sheet Hole Piercing Die,CO-SRI SABARI INDUSTRIES,2024-08-22 18:18:30~2024-08-22 18:18:30,01-01-2000~01-01-2000,,null,
Fixtures,2x2.5 Basket Inner,(158) 2X2.5 Inner basket 10 mesh Roll,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,2x2.5 basket Inner,(159) 2X2.5 Inner basket 40 mesh Roll,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,2x2.5 basket Inner,(160) 2X2.5 Inner basket 20 mesh Roll,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,2x2.5 basket Inner,(161) 2x2.5 Inner basket Top Ring & Bottom Cup fixing-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,2x2.5 basket Inner,(162) 2x2.5 Inner basket Top Ring & Bottom Cup fixing-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,2x2.5 Basket OTR,(163) 2x2.5 OTR Basket Top Ring & Bottom Cup fixing-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,2x2.5 Basket OTR,(164) 2x2.5 OTR Basket Top Ring & Bottom Cup fixing-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,3X4 Basket Inner,(165) 3X4 Inner Basket Mesh Rolling Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,3X4 Basket Inner,(166) 3X4 Inner Basket Top Ring & Bottom Cup fixing-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,3X4 Basket Inner,(167) 3X4 Inner Basket Top Ring & Bottom Cup fixing-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,3X4 Basket OTR,(168) 3X4 OTR Basket-Diamond Mesh-Top Ring & Bott Cup-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,3X4 Basket OTR,(169) 3X4 OTR Basket-Diamond Mesh-Top Ring & Bott Cup-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,6 Mesh Outer Basket Rolling Fixture,(170) 6 Mesh Outer Basket Mesh Rolling Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,10 Mesh Liner Fixture,(171) 10 Mesh Liner Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,E3/E7 4 Mesh Rolling Fixture,(172) E3/E7 4 Mesh Rolling Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,E3/E7 40 Mesh Rolling Fixture,(173) E3/E7 40 Mesh Rolling Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,E3/E7 10 Mesh Rolling Fixture,(174) E3/E7 10 Mesh Rolling Fixture,CO-Shanmugha metal Finishers,2024-09-09 14:26:12~2024-09-09 14:26:12,01-01-2000~01-01-2000,,null,
Fixtures,E3/E7 Basket Top Ring Bottom Cup Fixing,(175) E3/E7 Basket Top Ring Bottom Cup Fixing,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Float Guard Stopper Fixing,(176) Float Guard Stopper Fixing,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,T3 Valve Divertor Forming Base Die,(177) T3 Valve Divertor Forming Base Die,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,T3 Valve Divertor Forming Punch Die,(178) T3 Valve Divertor Forming Punch Die,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,T3 Valve Divertor Forming Moving Core Die,(179) T3 Valve Divertor Forming Moving Core Die,Vendor,null,01-01-2000~01-01-2000,,null,
Lathe Tool,SINR 025 R16 S-Clamp ID Threading Tool,(180) SINR 025 R16 S-Clamp ID Threading Tool,CO-Rajeev,2024-09-05 17:21:44~2024-09-05 17:21:44,01-01-2000~01-01-2000,,null,
Lathe Tool,S20 TTIL Gruving Boring Tool,(181) S20 TTIL Gruving Boring Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,CNC Sleeve,(182) CNC Sleeve dia 40X25mmX90L,CO-Rajeev,2024-09-05 17:23:05~2024-09-05 17:23:05,01-01-2000~01-01-2000,,null,
Gauges,Slot Slip Gauge,(183) Slot Slip Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Masters Thread Ring NoGo Gauge 3.5/8x16UN-2A,(184) C004366,CO-CASTFAB ENGINEERING INDIA PVT LTD,2026-05-30 19:11:28~2026-05-20 19:11:28,16-09-2026~17-09-2025,,null,
Dies_Tools,Non Magnetic 'V' Block (75x60x60)mm,(185) Non Magnetic 'V' Block (75x60x60)mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR Copper Rod,(186) 40 Mesh OTR Copper Rod-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR Copper Rod,(187) 40 Mesh OTR Copper Rod-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner Copper Rod,(188) 16 Mesh Inner Copper Rod-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner Copper Rod,(189) 16 Mesh Inner Copper Rod-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR Roll Bend Rod,(190) 40 Mesh OTR Roll Bend Rod,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner Roll Bend Rod,(191) 16 Mesh Inner Roll Bend Rod,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Bend Tool,(192) 40 Mesh OTR-Mesh Bend Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Punching Tool,(193) 40 Mesh OTR-Mesh Punching Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(194) 40 Mesh OTR-Mesh Roll Fixing Ring-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(195) 40 Mesh OTR-Mesh Roll Fixing Ring-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(196) 40 Mesh OTR-Mesh Roll Fixing Ring-3,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(197) 40 Mesh OTR-Mesh Roll Fixing Ring-4,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(198) 40 Mesh OTR-Mesh Roll Fixing Ring-5,Magdyn,null,01-01-2000~01-01-2000,,null,
